n_estimators,max_depth,random_state,score
15,13,23,95.4
15,13,24,96.2
15,13,25,95.3
15,13,26,95.7
15,13,27,95.5
15,13,28,95.8
15,13,29,95.5
15,14,1,96.6
15,14,2,96.2
15,14,3,96.2
15,14,4,95.7
15,14,5,95.7
15,14,6,96.0
15,14,7,95.9
15,14,8,95.5
15,14,9,95.8
15,14,10,95.9
15,14,11,95.7
15,14,12,96.3
15,14,13,96.0
15,14,14,95.3
15,14,15,95.8
15,14,16,96.2
15,14,17,96.0
15,14,18,96.5
15,14,19,95.9
15,14,20,96.2
15,14,21,95.8
15,14,22,96.5
15,14,23,95.7
15,14,24,96.0
15,14,25,96.0
15,14,26,95.7
15,14,27,96.2
15,14,28,96.2
15,14,29,95.8
15,15,1,96.0
15,15,2,95.7
15,15,3,95.9
15,15,4,96.3
15,15,5,95.7
15,15,6,95.6
15,15,7,96.2
15,15,8,96.0
15,15,9,96.2
15,15,10,95.7
15,15,11,96.1
15,15,12,96.2
15,15,13,96.7
15,15,14,95.2
15,15,15,95.4
15,15,16,96.1
15,15,17,96.1
15,15,18,96.0
15,15,19,96.5
15,15,20,96.1
15,15,21,95.7
15,15,22,96.4
15,15,23,95.4
15,15,24,96.4
15,15,25,96.0
15,15,26,95.7
15,15,27,95.4
15,15,28,96.1
15,15,29,96.2
16,10,1,95.1
16,10,2,95.6
16,10,3,94.6
16,10,4,94.8
16,10,5,94.9
16,10,6,94.9
16,10,7,95.5
16,10,8,95.0
16,10,9,95.1
16,10,10,94.9
16,10,11,94.8
16,10,12,95.3
16,10,13,95.0
16,10,14,94.3
16,10,15,95.1
16,10,16,94.7
16,10,17,94.9
16,10,18,95.2
16,10,19,95.2
16,10,20,94.5
16,10,21,95.0
16,10,22,94.7
16,10,23,95.2
16,10,24,94.9
16,10,25,94.7
16,10,26,94.8
16,10,27,95.1
16,10,28,95.2
16,10,29,94.9
16,11,1,96.2
16,11,2,95.3
16,11,3,95.2
16,11,4,95.1
16,11,5,95.5
16,11,6,95.7
16,11,7,95.4
16,11,8,96.1
16,11,9,95.7
16,11,10,95.5
16,11,11,95.7
16,11,12,95.4
16,11,13,95.4
16,11,14,95.4
16,11,15,95.0
16,11,16,95.8
16,11,17,95.7
16,11,18,95.7
16,11,19,95.8
16,11,20,95.3
16,11,21,95.9
16,11,22,95.3
16,11,23,95.2
16,11,24,95.5
16,11,25,95.1
16,11,26,95.8
16,11,27,95.4
16,11,28,95.2
16,11,29,95.8
16,12,1,96.2
16,12,2,95.2
16,12,3,95.7
16,12,4,95.3
16,12,5,95.5
16,12,6,95.5
16,12,7,95.8
16,12,8,96.0
16,12,9,95.7
16,12,10,95.8
16,12,11,95.4
16,12,12,96.4
16,12,13,96.0
16,12,14,95.6
16,12,15,96.2
16,12,16,96.6
16,12,17,95.7
16,12,18,96.1
16,12,19,95.2
16,12,20,95.3
16,12,21,95.5
16,12,22,95.7
16,12,23,95.6
16,12,24,96.0
16,12,25,94.8
16,12,26,95.0
16,12,27,95.8
16,12,28,95.9
16,12,29,95.5
16,13,1,96.0
16,13,2,96.3
16,13,3,96.1
16,13,4,96.0
16,13,5,95.7
16,13,6,95.8
16,13,7,95.8
16,13,8,96.2
16,13,9,96.2
16,13,10,95.8
16,13,11,96.0
16,13,12,96.0
16,13,13,95.8
16,13,14,95.7
16,13,15,95.8
16,13,16,96.6
16,13,17,95.7
16,13,18,96.1
16,13,19,96.0
16,13,20,96.4
16,13,21,96.0
16,13,22,95.7
16,13,23,95.3
16,13,24,96.3
16,13,25,95.7
16,13,26,95.7
16,13,27,95.4
16,13,28,95.8
16,13,29,95.6
16,14,1,96.9
16,14,2,95.9
16,14,3,96.4
16,14,4,96.0
16,14,5,95.7
16,14,6,96.0
16,14,7,95.9
16,14,8,95.4
16,14,9,95.6
16,14,10,95.9
16,14,11,96.1
16,14,12,96.5
16,14,13,96.0
16,14,14,95.0
16,14,15,95.7
16,14,16,96.2
16,14,17,95.7
16,14,18,96.3
16,14,19,95.7
16,14,20,96.2
16,14,21,96.0
16,14,22,96.4
16,14,23,95.9
16,14,24,96.2
16,14,25,96.5
16,14,26,95.7
16,14,27,96.3
16,14,28,96.2
16,14,29,95.8
16,15,1,96.3
16,15,2,95.5
16,15,3,96.2
16,15,4,95.7
16,15,5,95.6
16,15,6,96.2
16,15,7,96.5
16,15,8,95.8
16,15,9,96.1
16,15,10,96.0
16,15,11,96.2
16,15,12,96.2
16,15,13,96.3
16,15,14,95.5
16,15,15,95.6
16,15,16,96.0
16,15,17,96.2
16,15,18,96.1
16,15,19,96.5
16,15,20,96.2
16,15,21,95.7
16,15,22,96.5
16,15,23,95.9
16,15,24,96.8
16,15,25,96.5
16,15,26,95.3
16,15,27,95.4
16,15,28,96.0
16,15,29,96.0
17,10,1,94.7
17,10,2,95.7
17,10,3,95.0
17,10,4,95.4
17,10,5,94.7
17,10,6,95.1
17,10,7,95.2
17,10,8,94.9
17,10,9,95.3
17,10,10,94.9
17,10,11,95.0
17,10,12,94.7
17,10,13,95.0
17,10,14,94.1
17,10,15,95.3
17,10,16,94.7
17,10,17,94.9
17,10,18,95.0
17,10,19,95.3
17,10,20,94.6
17,10,21,95.0
17,10,22,94.8
17,10,23,95.4
17,10,24,95.3
17,10,25,94.8
17,10,26,94.9
17,10,27,95.0
17,10,28,95.2
17,10,29,94.9
17,11,1,96.2
17,11,2,95.2
17,11,3,95.4
17,11,4,95.5
17,11,5,95.5
17,11,6,96.0
17,11,7,95.8
17,11,8,96.2
17,11,9,95.5
17,11,10,95.9
17,11,11,95.9
17,11,12,95.3
17,11,13,95.7
17,11,14,95.3
17,11,15,95.1
17,11,16,95.7
17,11,17,95.5
17,11,18,95.6
17,11,19,96.0
17,11,20,95.2
17,11,21,95.8
17,11,22,94.9
17,11,23,95.3
17,11,24,95.6
17,11,25,95.2
17,11,26,95.8
17,11,27,95.5
17,11,28,95.4
17,11,29,95.7
17,12,1,96.2
17,12,2,95.7
17,12,3,95.8
17,12,4,95.4
17,12,5,95.5
17,12,6,95.4
17,12,7,96.0
17,12,8,96.0
17,12,9,95.7
17,12,10,95.5
17,12,11,95.4
17,12,12,96.0
17,12,13,96.0
17,12,14,95.4
17,12,15,96.1
17,12,16,96.5
17,12,17,96.0
17,12,18,96.2
17,12,19,94.9
17,12,20,95.0
17,12,21,95.7
17,12,22,95.9
17,12,23,95.8
17,12,24,96.1
17,12,25,94.7
17,12,26,94.9
17,12,27,95.9
17,12,28,96.0
17,12,29,96.0
17,13,1,96.0
17,13,2,96.6
17,13,3,96.0
17,13,4,96.0
17,13,5,95.7
17,13,6,95.7
17,13,7,95.8
17,13,8,96.3
17,13,9,96.2
17,13,10,95.7
17,13,11,95.8
17,13,12,96.0
17,13,13,96.0
17,13,14,95.8
17,13,15,96.1
17,13,16,96.5
17,13,17,95.6
17,13,18,96.0
17,13,19,96.1
17,13,20,96.2
17,13,21,96.0
17,13,22,95.5
17,13,23,95.2
17,13,24,96.4
17,13,25,95.9
17,13,26,95.8
17,13,27,95.5
17,13,28,96.1
17,13,29,96.3
17,14,1,96.3
17,14,2,96.2
17,14,3,96.4
17,14,4,95.8
17,14,5,95.7
17,14,6,96.0
17,14,7,95.9
17,14,8,95.8
17,14,9,95.5
17,14,10,95.7
17,14,11,95.8
17,14,12,96.5
17,14,13,96.2
17,14,14,95.2
17,14,15,95.7
17,14,16,96.2
17,14,17,96.0
17,14,18,96.5
17,14,19,96.1
