n_estimators,max_depth,random_state,score
10,11,23,95.5
10,11,24,95.2
10,11,25,95.4
10,11,26,95.7
10,11,27,95.0
10,11,28,95.3
10,11,29,94.6
10,11,30,95.2
10,11,31,95.4
10,11,32,96.0
10,11,33,95.2
10,11,34,95.0
10,11,35,95.2
10,11,36,95.4
10,11,37,95.4
10,11,38,95.3
10,11,39,95.7
10,11,40,95.1
10,11,41,95.2
10,11,42,95.5
10,11,43,95.2
10,11,44,95.4
10,11,45,95.2
10,11,46,94.8
10,11,47,95.4
10,11,48,95.2
10,11,49,95.7
10,11,50,95.7
10,11,51,95.6
10,11,52,95.5
10,11,53,95.4
10,11,54,95.0
10,11,55,94.9
10,11,56,95.4
10,11,57,95.0
10,11,58,95.5
10,11,59,95.4
10,11,60,94.7
10,11,61,95.6
10,11,62,95.7
10,11,63,95.3
10,11,64,95.4
10,11,65,95.2
10,11,66,95.5
10,11,67,95.2
10,11,68,95.2
10,11,69,94.6
10,11,70,94.9
10,11,71,95.8
10,11,72,95.2
10,11,73,95.8
10,11,74,95.4
10,11,75,95.7
10,11,76,95.2
10,11,77,95.3
10,11,78,95.3
10,11,79,95.8
10,11,80,94.1
10,11,81,95.2
10,11,82,95.4
10,11,83,94.8
10,11,84,95.5
10,11,85,95.4
10,11,86,95.1
10,11,87,95.6
10,11,88,95.6
10,11,89,95.3
10,11,90,94.9
10,11,91,95.4
10,11,92,95.3
10,11,93,95.2
10,11,94,95.2
10,11,95,95.2
10,11,96,95.4
10,11,97,95.8
10,11,98,95.4
10,11,99,95.3
10,12,1,95.9
10,12,2,95.9
10,12,3,95.4
10,12,4,95.3
10,12,5,95.7
10,12,6,96.0
10,12,7,96.0
10,12,8,95.3
10,12,9,95.6
10,12,10,95.2
10,12,11,95.3
10,12,12,96.2
10,12,13,94.9
10,12,14,95.1
10,12,15,95.8
10,12,16,95.4
10,12,17,95.1
10,12,18,95.2
10,12,19,96.0
10,12,20,95.5
10,12,21,95.6
10,12,22,96.5
10,12,23,95.5
10,12,24,95.7
10,12,25,95.6
10,12,26,96.0
10,12,27,95.1
10,12,28,95.6
10,12,29,95.1
10,12,30,95.8
10,12,31,95.7
10,12,32,95.7
10,12,33,96.3
10,12,34,95.6
10,12,35,94.9
10,12,36,95.3
10,12,37,95.1
10,12,38,95.7
10,12,39,95.7
10,12,40,95.4
10,12,41,95.3
10,12,42,96.1
10,12,43,95.4
10,12,44,95.9
10,12,45,95.0
10,12,46,95.2
10,12,47,95.6
10,12,48,95.7
10,12,49,95.6
10,12,50,95.2
10,12,51,95.7
10,12,52,95.7
10,12,53,95.2
10,12,54,95.4
10,12,55,95.4
10,12,56,95.2
10,12,57,96.2
10,12,58,94.7
10,12,59,95.9
10,12,60,95.7
10,12,61,95.4
10,12,62,95.6
10,12,63,95.1
10,12,64,96.2
10,12,65,95.4
10,12,66,96.2
10,12,67,95.3
10,12,68,96.0
10,12,69,95.2
10,12,70,95.2
10,12,71,95.7
10,12,72,94.7
10,12,73,96.1
10,12,74,96.2
10,12,75,95.8
10,12,76,95.2
10,12,77,95.2
10,12,78,95.4
10,12,79,96.0
10,12,80,96.2
10,12,81,95.6
10,12,82,95.7
10,12,83,95.9
10,12,84,96.3
10,12,85,96.2
10,12,86,95.9
10,12,87,96.2
10,12,88,95.5
10,12,89,96.7
10,12,90,95.4
10,12,91,95.6
10,12,92,95.9
10,12,93,95.1
10,12,94,95.8
10,12,95,96.1
10,12,96,95.4
10,12,97,96.1
10,12,98,96.1
10,12,99,94.9
10,13,1,95.9
10,13,2,94.9
10,13,3,95.7
10,13,4,96.5
10,13,5,95.5
10,13,6,95.3
10,13,7,95.4
10,13,8,95.6
10,13,9,96.2
10,13,10,96.4
10,13,11,95.2
10,13,12,96.4
10,13,13,96.5
10,13,14,95.4
10,13,15,95.4
10,13,16,95.4
10,13,17,95.9
10,13,18,95.2
10,13,19,96.3
10,13,20,96.0
10,13,21,95.5
10,13,22,96.1
10,13,23,95.5
10,13,24,95.9
10,13,25,95.9
10,13,26,96.3
10,13,27,95.6
10,13,28,95.2
10,13,29,96.2
10,13,30,95.4
