n_estimators,max_depth,random_state,score
13,11,7,95.0
13,11,8,94.9
13,11,9,95.2
13,11,10,95.5
13,11,11,94.8
13,11,12,95.0
13,11,13,94.4
13,11,14,94.8
13,11,15,95.0
13,11,16,95.4
13,11,17,95.2
13,11,18,95.2
13,11,19,95.3
13,11,20,95.1
13,11,21,95.2
13,11,22,94.5
13,11,23,95.1
13,11,24,94.6
13,11,25,95.0
13,11,26,95.0
13,11,27,94.6
13,11,28,95.4
13,11,29,95.2
13,11,30,94.5
13,11,31,95.1
13,11,32,94.9
13,11,33,94.8
13,11,34,95.2
13,11,35,95.2
13,11,36,95.0
13,11,37,94.9
13,11,38,95.1
13,11,39,94.9
13,11,40,95.3
13,11,41,94.8
13,11,42,95.1
13,11,43,95.2
13,11,44,95.0
13,11,45,94.8
13,11,46,94.5
13,11,47,95.0
13,11,48,94.7
13,11,49,94.7
13,11,50,95.0
13,11,51,94.9
13,11,52,95.3
13,11,53,95.0
13,11,54,94.6
13,11,55,95.1
13,11,56,95.6
13,11,57,94.9
13,11,58,94.8
13,11,59,94.9
13,11,60,95.1
13,11,61,95.0
13,11,62,94.8
13,11,63,94.6
13,11,64,95.0
13,11,65,95.1
13,11,66,95.3
13,11,67,94.8
13,11,68,95.4
13,11,69,95.3
13,11,70,94.7
13,11,71,94.9
13,11,72,94.7
13,11,73,95.3
13,11,74,95.0
13,11,75,94.8
13,11,76,95.0
13,11,77,95.0
13,11,78,95.6
13,11,79,95.0
13,11,80,94.6
13,11,81,95.2
13,11,82,94.6
13,11,83,95.1
13,11,84,95.2
13,11,85,95.0
13,11,86,94.8
13,11,87,94.9
13,11,88,95.4
13,11,89,94.9
13,11,90,95.0
13,11,91,94.6
13,11,92,95.3
13,11,93,95.2
13,11,94,95.0
13,11,95,94.6
13,11,96,94.5
13,11,97,95.1
13,11,98,94.7
13,11,99,94.6
13,12,1,95.5
13,12,2,94.7
13,12,3,95.4
13,12,4,94.9
13,12,5,95.4
13,12,6,95.2
13,12,7,95.3
13,12,8,95.4
13,12,9,95.6
13,12,10,95.1
13,12,11,95.2
13,12,12,95.0
13,12,13,94.9
13,12,14,95.3
13,12,15,95.6
13,12,16,95.4
13,12,17,94.9
13,12,18,95.0
13,12,19,95.6
13,12,20,95.0
13,12,21,95.7
13,12,22,95.8
13,12,23,95.5
13,12,24,95.6
13,12,25,95.5
13,12,26,95.2
13,12,27,95.0
13,12,28,95.1
13,12,29,95.6
13,12,30,95.1
13,12,31,95.5
13,12,32,95.2
13,12,33,95.3
13,12,34,95.4
13,12,35,95.3
13,12,36,95.3
13,12,37,95.2
